epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,240384,0.5197181238237855,3855852032,0.01,0.0076984535217285155,0.01,0.007696444511413574,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,7408.891802106585,1155.159896850586,0.0007776124194996166,0.003144174306986055,-0.0028984868161690733,0.01172877661883831,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,240384,0.5202724244588476,3855852032,0.01,0.007186701202392578,0.010175,0.007088552284240723,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,9037.527378627232,1126.5177721296038,0.0013193861065831567,0.004840250443001943,-0.006810824772401247,0.01399092748761177,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,240384,0.525546020863916,3855852032,0.01,0.007024735260009765,0.01,0.007025128936767578,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,6272.914210728237,1137.8295625959124,0.0012175424739585391,0.004434415871011359,-0.0049375334444145364,0.02251296490430832,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,240384,0.5178723066968991,3855852032,0.01,0.0077375076293945315,0.00995,0.0076120689392089845,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,6874.705269949777,1037.0391758510045,0.0008129792736976274,0.0038451024697029163,0.005880024652772893,0.022447943687438965,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,240384,0.5212515772456099,3855852032,0.01,0.0076140045166015625,0.01,0.00761196575164795,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,5633.284109933035,870.4038238525391,0.0008166543931500721,0.0035478407350767937,-0.001978929377704238,0.014596234075725079,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,240384,0.5263617270437958,3855852032,0.0217,0.013082238006591796,0.021625,0.013269942474365234,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,6008.098876953125,932.3336988176618,0.001227470821634467,0.0038405255348022494,-0.007556963122018108,0.0011954428628087044,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,240384,0.5254274603655881,3855852032,0.0292,0.01545954808294773,0.029475,0.015673650196194648,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,27314.069963727678,2624.856776646205,0.001658611448614725,0.00558257130407063,0.002509798898245208,0.019803106784820557,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,240384,0.5257248293103465,3855852032,0.0442,0.025544552779197694,0.044775,0.024857870608568193,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,16359.068917410714,2235.879368373326,0.0012588763908882225,0.003941832476162485,-0.0016507959032120805,0.02021409384906292,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,240384,0.5336849213866017,3855852032,0.0635,0.030757680583000182,0.064275,0.030742533047497272,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,23072.35721261161,1904.2337384905134,0.0007315932307392359,0.0014649294192037945,0.007086245731140177,0.032059445977211,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,240384,0.5375433669370764,3855852032,0.0747,0.037770863699913025,0.07415000000000001,0.037857860119640825,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,17603.23807198661,1379.9617614746094,0.0005297906921311681,0.00047438200895807574,0.008544973870205771,0.023696908727288246,0,0,0,lora-first
